운전 배우다 원하다|운전교육 신청하러 오셨어요?
미디어 아트&조각 공원|미디어아트&조각공원
여수 예술 랜드 마음 여유롭다 구경|여유롭게 둘러보는 여수 예술랜드
여수 예술 랜드 거리 50m 미디어 터널 또 인공 암반 동굴 걷다 도착 아름답다 조각 공원 보다|여수 예술랜드의 50m 미디어 터널과 인공암반동굴을 지나 아름다운 조각공원을 둘러봐요.
전망대 마이다스 손 모양 또 조각 작품 보다 시간 빠르다 즐기다|전망대 마이다스의 손과 조각작품들로 시간 가는 줄 모르고 즐기게 됩니다.
넓다 크다 풍경 보다 시간 여유롭다 해보다|탁 트인 풍경을 바라보며 여유로운 시간을 보내세요.
항일암 1시간 30분 가능|향일암 1시간 30분 소요 예정
남해 보다 가능 곳|남해를 담은 곳
여수 10경 항일함 넓다 크다 남해 보다 가능 곳|탁 트인 파노라마 뷰의 남해를 볼 수 있는 여수 10경 향일함입니다.
동자승 몸 모습 다양 똑같다 따르다 또 예쁘다 절 구경 가능|다양한 포즈의 동자승 동상들을 따라해 보고 예쁜 절을 둘러봐요.
겨울부터 봄 때 동백꽃 피다 보다 가능|겨울부터 봄 사이엔 만개한 동백꽃도 보실 수 있어요.
와온 해변 30분 아마|와온해변 30분 소요 예정
일몰 보다 아름답다 바다 곳|일몰이 아름다운 해변
썰물 원인 개펄 갈대밭 물길 S자 모양 되다 바다 보다 아름답다 유명하다 곳|썰물로 만들어지는 S자 라인의 물길, 개펄과 갈대밭 위에 그려지는 아름다운 일몰이 유명한 해변입니다.
겨울 때 철새 날다 오다 구경 멋있다|겨울엔 철새들이 날아와 장관을 이루기도 해요.
순천 산 바다 동물 식물 아름답다 곳|순천이 보여주는 자연의 아름다움
3일차 하루 계획|3일차 일정
여행 마지막 날|여행의 마지막날
순천만 습지 2시간 아마|순천만 습지 2시간 소요 예정
세계 5대 연안습지|세계 5대 연안습지
순천만 습지 사람 산 바다 동물 식물 함께 살다 또 하늘 은혜 환경 멋있다 구경 보다 여유 느끼다|인간과 자연이 공존하고 천혜의 자연환경을 갖춘 순천만 습지를 돌아보며 여유를 느껴봐요.
용산 전망대 곳 산 바다 또 습지 모습 어울리다 아름답다 보다 가능|용산 전망대에서 산과 바다 그리고 습지가 이루는 아름다운 조화도 볼 수 있어요.
순천 드라마 촬영장 1시간 30분 아마|순천 드라마 촬영장 1시간 30분 소요예정
드라마 한 모습|드라마의 한 장면 속으로
1960~1980년 대 서울 관악구 달동네 모습 있다 넓다 얼마? 12,000평 매우 크다 곳|1960~1980 년대 당시 서울 관악구 달동네의 모습을 생생하게 간직하고 있는 12,000평의 국내 최대 규모 촬영장입니다.
매우 많다 유명하다 인기 있다 드라마 주인공 똑같이 다니다 무엇?|수많은 히트작이 탄생한 이곳에서 드라마 속 주인공이 되어 다녀보는 건 어떨까요?
순천만 국가 정원 2시간 아마|순천만 국가 정원 2시간 소요 예정
순천 대표 유명하다 곳|순천의 대표 명소
한국 제 1호 국가 정원 순천만 국가 정원 곳 여행 사람 꼭 가다 곳|대한민국 제1호 국가 정원 순천만 국가 정원은 관광객들이 빼놓지 않고 가는 순천의 MUST 스팟입니다.
깨끗 공기 또 예쁘다 정원 구경 보다 눈 편안하다 걷다 마음 여유 가능|맑은 공기와 아름답게 가꿔진 정원을 둘러보며 눈을 쉬게 해주고 산책을 하며 여유를 가져봐요.
만나다 차 타다 출발|픽업 및 이동
곳 따르다 다르다|위치에 따라 상이
결정 곳 만나다 차 타다 이후 여수 곳 이동|지정된 장소에서 픽업 후 여수로 이동
고소동 벽화골목|고소동 벽화골목
1시간 30분 아마|1시간 30분 소요 예정
벽화 마을 구경 보다|벽화마을 둘러보기
하멜 등대|하멜등대
15분 아마|15분 소요 예정
등대 곳 기념 촬영, 여수 앞바다 구경 여행|등대에서 기념촬영, 여수 앞바다 관광
해상 케이블카 & 돌산공원|해상 케이블카 & 돌산공원
1시간 30분 아마|1시간 30분 소요 예정
케이블카 탑승 이후 돌산 공원 곳 여수 구경 관람|케이블카 탑승 후 돌산공원에서 여수 전경 관람
저녁 식사|저녁식사
1시간 아마|1시간 소요 예정
여행 지역 곳 방식 식사|현지식 식사
숙소 곳 가다|숙소로 이동
방 승인 확인 이후 쉬다|체크인 후 휴식
2일차|2일차
아침 식사|아침식사
오전 8시 30분 아마|오전 8시 30분 예정
여수 예술랜드|여수 예술랜드
2시간 아마|2시간 소요
국내 가장 크다 테마형 뮤지엄 여수 예술랜드 곳 트릭아트 다양 체험|국내 최대 테마형 뮤지엄인 여수 예술랜드에서 다양한 트릭아트 체험
점심식사|점심식사
1시간 아마|1시간 소요 예정
여행 지역 곳 방식 식사|현지식 식사
향일암|향일암
1시간 30분 아마|1시간 30분 소요 에정
넓다 크다 남해 구경 가능 여수 10경 향일암 구경 여행|탁 트인 파노라마 뷰의 남해를 볼 수 있는 여수10경 향일암 관광
모이핀|모이핀
1시간 아마|1시간 소요 예정
여수 곳 유명하다 카페 휴식|여수의 유명한 카페에서 휴식
와온해변|와온해변
30분 아마|30분 소요 예정
해변 곳 일몰 구경|해변에서 일몰 감상
저녁 식사|저녁식사
1시간 아마|1시간 소요 예정
여행 지역 곳 방식 식사|현지식 식사
숙소 곳 가다|숙소로 이동
방 승인 확인 이후 휴식|체크인 후 휴식
3일차|3일차
아침 식사|아침식사
오전 8시 아마|오전 8시 예정
호텔 조식 식사|호텔조식 식사
순천만 습지|순천만습지
2시간 아마|2시간 소요 예정
세계 5대 연안 습지 순천만 구경 보다|세계 5대 연안습지인 순천만 돌아보기
점심 식사|점심식사
1시간 아마|1시간 소요 예정
여행 지역 곳 방식 식사|현지식 식사
순천 드라마 촬영장|순천 드라마 촬영장
1시간 30분 아마|1시간 30분 소요 예정
국내 가장 크다 촬영장 구경 보다|국내 최대 규모의 촬영장 관람하기
차 내리다  해산|드랍오프 및 해산
곳 따르다 다르다|위치에 따라 상이
차 운전 안전 집 도착|집으로 안전하게 차량이동
아이 보호 여행 강릉 여유 구경 여행|찬찬히 둘러보는 강릉 아이 돌봄 여행
기분 충분|감성 충만
강릉 1박 2일|강릉 1박 2일
바다 깊다 물고기 보다 또 직접 만들다 맥주 마시다 여행 즐기다|바닷속 친구와 만나고 수제 맥주도 즐기는 여행
분리 또 함께, 강릉 여유 보다|따로 또 같이, 찬찬히 둘러보는 강릉의 감성
강릉 곳 직접 만들다 맥주 유명 알다 있다?|강릉에 수제 맥주가 유명하다는 사실 알고 계셨나요?
강릉 곳 바다 보다 또 직접 만들다 맥주 마시다 기분 만족|감성을 촉촉하게 채워 줄 강릉의 바다와 수제 맥주의 조합!
가족 함께 주문진항 곳 전통 시장, 오죽헌, 강릉 곳 파랗다 바다 보다 즐기다|가족이 함께 주문진항, 전통 시장, 오죽헌, 강릉의 푸른 바다에 빠져 보고
분리 또 함께 어른 브루어리 곳 놀다 아이 아쿠아리움 경험 다양 하다|따로 또 같이 어른은 브루어리에서 아이는 아쿠아리움에서 이색적인 체험을 하며,
모두 만족 즐기다 좋다 가능|모두가 만족할 수 있는 일정을 즐겨 보세요.
강릉 시원하다 맥주 공장 체험|시원한 강릉의 맥주 브루어리 체험
맥주 공장 체험 아이 함께 가다 어렵다|아이와 함께 가기 어려웠던 브루어리 체험
한국 처음 맥주 전통 술 양조장 같이 보다 가능|전국 최초로 맥주와 전통주 양조장이 함께
경포 아쿠아리움 아이 가장 좋다 곳|아이들의 최애 핫스팟 경포 아쿠아리움
크다 물고기, 다양 물고기 또 수달 보다 시간 즐기다 좋다|대형 어류, 다양한 어종 뿐 아니라 수달도 만날 수 있는 즐겁고 신나는 시간
강릉 대표 구경 여행 곳 아이 함께 방문|강릉 대표 관광지는 아이와 함께 방문
우리 가족 소중하다 여행 대표 구경 여행 곳 투어뮤즈 가족 사진 찍다 있다|우리 가족의 소중한 여행, 대표 관광지에서 찍는 가족사진은 투어뮤즈에서 챙겨드려요.
기본 옵션|기본옵션
어린이 평일/주말 1인 당 321,000원|어린이 평일/주말 1인당 321,000원
어른 평일/주말 1인 당 361,000원|어른 평일/주말 1인당 361,000원
기록 요금 보통 때 , 주말 또 공식 쉬다 날 가격 오르다 아마|상기 요금은 평일 기준이며, 주말/공휴일 등에는 가격이 올라갈 수 있습니다.
불포함 사항|불포함 사항
기타 개인 경비|기타 개인 경비
포함 사항|포함 사항
아이 보호 서비스|아이 돌봄 서비스
수도권 제외 추가 비용 발생|수도권 제외 추가 비용 발생
강릉 맥주 공장 곳 구경 쉽다 아니다|쉽게 만나보지 못했던 강릉의 브루어리
주문진항|주문진항
수산 시장 역사 있다|역사를 가진 수산시장
주문진 수산 시장 주문진항 가깝다 곳 있다 1936년 부터 지금 까지 역사 계속 구경 느끼다 가능|주문진항 인근에 자리한 주문진 수산시장에는 1936년부터 지금까지 이어져 온 역사를 지닌 어촌의 정취를 듬뿍 느낄 수 있어요.
새롭다 깨끗하다 물고기 회 또 바다 바람 불다 만들다 건어물 있다 또 구경 보다 멋있다|싱싱한 횟감부터 해풍에 잘 말린 건어물까지 입맛을 돋우는 풍경이 멋지답니다.
주문진 방사제 곳 촬영 유명하다 곳|주문진 방사제는 유명한 촬영 관광지로도 알려져 있습니다.
향호해변&주문진해변|향호해변&주문진해변
포토존 강릉 꼭 방문 필요 곳|강릉 필수 방문 포토존
2016  한국 깨끗 바다 20 곳 중 주문진 바다 선택 바다 깊다 없다 또 사람 많다 없다 가족 함께 여행 좋다|2016 전국 청정 해수욕장 20선 중 하나로 선정된 주문진 해변은 수심이 낮고 사람들이 붐비지 않아 가족 여행에 적합한 곳입니다.
춤추다 노래 부르다 무리 BTS 이 곳 버스 타다 곳 노래 동영상 찍다 목적 임시 만들다|특히 BTS가 뮤비를 촬영해 유명해진 버스 정류장은 뮤비 촬영을 위해 임시로 만들어진 장소였는데요,
하지만 이 곳 사람 많다 가다 구경 때문 사진 찍다 곳 되다|관광지를 찾는 많은 관광객들의 성원 덕에 포토스팟으로 재탄생 했다고 해요.
경포 아쿠아리움|경포 아쿠아리움
바다 물고기 보다 시간|바닷속 친구들을 만나보는 시간
경포 아쿠아리움 곳 동해안 석호 경포호 바다 호수 모이다 곳 또 생태 구경 여행 유명하다|바다와 호수가 만나는 동해안 대표 석호 경포호와 생태 관광의 명소 경포 가시연 습지를 끼고 있는
경포 가시연 습지 곳 같다 있다 독특 환경 보다 가능 곳|경포 아쿠아리움은 경포호의 특수한 생태 환경을 보여주는 매력적인 곳이에요.
크다 물고기 다양 물고기|대형어류, 다양한 어종 뿐 아니라 경포 아쿠아리움의 마스코트이자
또 경포 아쿠아리움 곳 대표 수달 있다 아이 수달 좋다 인기 많다|어린이들에게 최고의 인기를 자랑하는 수달도 함께 살고 있다고 합니다.
강릉 맥주 공장 곳|강릉 브루어리
강릉 대표 독특 체험|강릉 대표 이색 체험
한국 처음 직접 만들다 맥주 만들다 곳 또 전통 술 만들다 곳 같이 가지다 사장님 있다|전국 최초 수제 맥주 양조장과 전통주 양조장을 동시에 보유하고 계신 사장님으로부터
곳 가다 직접 맥주 만들다 방법 또 기계 보다 가능|직접 맥주가 만들어지는 원리와 브루잉 기계가 어떻게 동작 하는지를 들을 수 있어요.
바로 만들다 맥주 마시다 가능 좋다|바로 만든 생맥주 시음이 체험의 키 포인트!
전통 술 만들다 체험 때 직접 만들다 전통 술 집 가져가다 가능|전통주 만들기 체험에서는 직접 만든 전통주를 집으로 가져가실 수 있습니다.
월화거리|월화거리
식사 포함 2시간 30분 아마|식사 포함 2시간 30분 소요 예정
강릉 세월 보다 가능 거리|강릉의 세월을 담고 있는 거리
월화거리 강릉역 부터 폐철도 걷다 길 길이 약 2.6km|강릉역에서 시작해 가로지르는 폐철도를 따라 조성된 약 2.6km의 산책로인 월화거리!
거리 곳곳 예쁘다 만들다 꾸미다 물건 있다 또 골목 모습 세월 보다 가능 합 분위기 독특|거리 곳곳에는 예쁜 조형물과 세월의 흔적을 고스란히 지닌 골목 풍경이 어우러져 독특한 분위기를 자아내고 있습니다.
가족 함께 전통 시장 곳 간식 구경 가능|전통 시장에서 가족과 함께 간식거리를 구경해 보는 것도 여행에서 빼놓을 수 없는 코스겠죠?
강릉 늦다 걷다 구경 가능|찬찬히 걸어서 둘러볼 오늘의 강릉
오죽현|오죽현
역사 또 추억 있다 곳|역사와 추억이 묻어 있는 곳
강릉 대표 사람 생각나다 누구? 신사임당 이율곡 맞다?|강릉을 대표하는 인물하면 역시 신사임당과 이율곡이 떠오르지 않으세요?
오죽헌 곳 신사임당 이율곡 태어나다 자라다 곳 강릉 역사 또 문화 보다 가능|오숙헌은 신사임당과 이율곡이 나고 자란 곳으로 강릉의 역사와 문화를 보여주는 명소입니다.
오죽헌 이름 의미 무엇? 집 주변 검다 대나무 숲 넓다|집 주위에 검은 대나무 숲이 울창하다는 뜻에서 유래한 이름 오죽헌!
역사 추억 보다 가능 곳 투어 뮤즈 가족 사진 찍다 있다|역사와 추억이 생생한 장소에서 투어뮤즈가 가족사진을 남겨드려요.
에디슨 과학 박물관|에디슨 과학 박물관
축음기 또 발명 물건 매우 많다 아이 과학 놀다 곳|축음기와 발명품이 잔뜩! 우리 아이들의 과학놀이터
에디슨 발명 물건 또 전세계 다양 축음기 모이다 구경 보다 곳 있다|에디슨의 발명품들 그리고 전세계의 다양한 축음기를 한 곳에 모아놓은 전시관이 있습니다.
아이 음향 기계 비유 오르골, 축음기, 라디오 역사 보다 가능|우리 아이들은 오르골, 축음기, 라디오 등 음향기기의 역사를 살펴 볼 수 있고,
또 에디슨 직접 만들다 발명 물건 보다 가능|에디슨의 손에서 탄생한 발명품들도 같이 만나볼 수 있어요.
허균 허날설헌 기념관|허균 허날설헌 기념관
문향 도시 강릉|문향의 도시 강릉
강릉 곳 문향 도시 부르다 이유 무엇? 태어나다 부터 재능 뛰어나다 허난설헌 또 허균 태어나다 자라다 곳|강릉을 문향의 도시라고 부르는 이유는 비범한 재능을 타고난 문장가 허난설헌과 허균이 태어난 곳이기 때문입니다.
허난설헌 태어나다 집 곳 기본 집 또 문 옆 집 있다 이 곳 예전 사대부 한옥 집 모습 보다 가능|본채와 행랑채로 이루어진 허난설헌 생가터는 전형적인 사대부가의 한옥 양식을 보여주고 있어요.
전통차 체험 곳 공원 안 있다 차 마시다 여유 즐기다 가능|공원 내에 있는 전통차 체험관에서는 향긋한 차 한잔의 여유까지 즐겨보실 수 있습니다.
경포호수공원|경포호수공원
산책길 나만 알다 원하다|나만 알고 싶은 산책길
경포 호수 공원 산책길 가깝다 허난설헌 허균 기념 곳 강문 바다 있다 구경 걷다 가능|경포 호수 공원 산책길, 허난설헌 허균 기념관, 강문해변 등 주변 관광지를 자유롭게 거닐어 보실 수 있어요.
경포호 산책길 약 4km 길이 자연 모습 또 테마 꾸미다 예쁘다 있다 걷다|약 4km에 이르는 경포호 산책로, 걷는 동안 심심할 틈이 없게 하는 자연의 모습과 테마에 맞게 잘 꾸며져 있는 조형물까지,
심심 없다 또 마음 여유 좋다 곳|여유로운 산책 시간을 갖기에 좋은 관광지입니다.
대관령 양떼목장|대관령 양떼목장
바람 흔들리다 푸르다 산 비탈 곳|바람에 흔들거리는 푸른 초지
대관령 양떼목장 동물 풀 뜯다 먹다 풀 넓다 곳|드넓은 목초지의 여유, 대자연을 느낄 수 있는 대관령 양떼목장.
동양 지역 가장 크다 넓다 약 600만 평 이 곳 산 비탈 또 동물 보다 가능|동양 최대 600만 평의 규모를 자랑하며 드넓은 초지와 동물, 살아있는 자연을 느낄 수 있어요.
목책로 구간 수 다섯 개 있다 가운데 곳 하나 걷다 구경 추천|총 다섯 개의 구간으로 나누어져 있는 목책로 구간 중, 한 구간이라도 꼭 걸어서 이동해 보시는 것을 추천합니다.
차 돕다 타다 출발|픽업 및 이동
곳 따르다 다르다|위치에 따라 상이
결정 곳 차 돕다 타다 이후 강릉 곳 출발|지정된 장소에서 픽업 후 강릉으로 이동
점심 식사|점심식사
1시간 30분 아마|1시간 30분 소요 예정
여행 지역 곳 방식 식사|현지식 식사
향호 해변|향호해변
1시간 아마|1시간 소요 예정
향호 바다 곳 기념 사진 찍다, 해변 구경 여행|향호해변에서 기념촬영, 해변 관광
경포 아쿠아리움|경포 아쿠아리움
2시간 아마|2시간 소요 예정
경포호 곳 독특 생태 환경 체험|경포호의 특수한 생태 환경 체험
강릉 월화거리|강릉월화거리
1시간 아마|1시간 소요 예정
강릉역 부터 폐철도 걷다 구경|강릉역에서부터 시내를 가로지르는 폐철도를 따라 조성된 산책로 걸어보기
저녁 식사|저녁식사
1시간 30분 아마|1시간 30분 소요 예정
여행 지역 곳 방식 식사|현지식 식사
숙소 곳 출발|숙소로 이동
방 승인 확인 이후 휴식|체크인 후 휴식
2일차|2일차
아침 식사|아침식사
오전 8:30분 아마|오전 8:30분 예정
호텔 조식 식사|호텔조식 식사
오죽헌|오죽헌
1시간 아마|1시간 소요 예정
강릉 역사 또 문화 구경 체험 유명하다 곳|강릉의 역사와 문화를 보여주는 명소 체험
에디슨 과학 박물관|에디슨 과학 박물관
2시간 아마|2시간 소요 예정
에디슨 만들다 물건 또 다양 축음기 합 보다 구경 가능 곳|에디슨의 발명품과 다양한 축음기를 한 곳에 모아 놓은 전시관
점심 식사|점심식사
1시간 아마|1시간 소요 예정
여행 지역 곳 방식 식사|현지식 식사
대관령 양떼목장|대관령 양떼목장
2시간 아마|2시간 소요 예정
대관령 양떼 목장 체험 자연 경험 가능|대자연을 느낄 수 있는 대관령 양떼목장 체험
차 돕다 내리다 이후 해산|드랍오프 및 해산
곳 따르다 다르다|위치에 따라 상이
차 운전 안전 집 도착|집으로 안전하게 차량 이동
아이 보호 여행 제주도 곳 놀다 또 쉬다|놀면서 쉬면서 만들어보는 나의 제주, 아이돌봄 여행
제주도 곳 아름답다 자연 또 다양 음식 구경 많다 여행 가장 원하다 곳 1위|아름다운 자연과 다양한 음식, 볼거리들로 변함없는 부동의 국내 희망 관광지 1위 제주.
섬 화산 폭포 해변 국립 공원 동굴 숲 구경 곳 많다 또 사람 수 보다 박물관 미술 구경 곳 수 많다|세계적 자연 경관의 모든 테마 (섬, 화산, 폭포, 해변, 국립 공원, 동굴, 숲)를 갖추고 있으면서도 인구 수 대비 미술관,
전국 박물관 미술 구경 곳 수보다 6배 더 많다|박물관 수가 국내 평균의 6배나 될 만큼 많은 “미술의 섬”이기도 합니다.
맛있다 음식 다양 많다 또 물 깨끗 공기 깨끗 제주도 곳 구경 부탁|산해진미가 가득한 물 좋고 공기 좋은 제주도에서 자연과 예술의 아름다움에 한껏 빠져들어 보아요.
함께 구경 즐기다 또 시간 자유 마음 여유 가능|함께하는 즐거움과 자유 시간의 여유를 둘 다 드려요.
가족 모두 함께 여행 구경 또 아이 어른 분리 여행 구경 가능|공통 코스에서는 가족 모두 함께하고 아이와 떨어져 어른 코스를 즐겨봐요.
2박 3일 동안 여행 무엇?|2박 3일간의 환상의 여정 조합
아름답다 산 바다 구경 박물관 미술 구경 곳 또 음식 맛있다 곳 여행 즐기다 크다|아름다운 자연, 뮤지엄, 맛집 등 최상의 일정 구성으로 여행의 즐거움 UP
제주 문화 생활 200% 즐기다|제주의 문화생활 200% 즐기기
어른 아이 취향 맞추다  또 테마 파트 구경|어른과 아이들의 취향에 맞는 각종 뮤지엄과 테마파크로 문화와 감성을 꽉 채워봐요.
기본 선택|기본옵션
어린이 평일/주말 1인 당 511,000원|어린이 평일/주말 1인당 511,000원
어른 평일/주말 1인 당 550,000원|어른 평일/주말 1인당 550,000원
불포함 사항|불포함사항
제주도 왕복 항공권|제주도 왕복 항공권
포함 사항|포함사항
차 돕다 타다 (제주 공항 기준)|픽업서비스 (제주공항 기준)
혼저옵서예,|혼저옵서예,
여기 곳 제주도 입니다|여기는 제주도입니다.
넥슨 컴퓨터 박물관|넥슨 컴퓨터 박물관
컴퓨터 또 게임 역사 있다 곳|컴퓨터와 게임의 역사를 담은
넥슨 컴퓨터 박물관 아시아 지역 가장 처음 곳 컴퓨터 또 게임 역사 보다 가능|아시아 최초의 컴퓨터 박물관으로 유명한 넥슨 컴퓨터 박물관은 컴퓨터와 게임의 역사를 잘 간직하고 있습니다.
VR 체험 가능 곳 있다 또 도서관 모습 비슷 오락실 전용 집 전용 게임 구경|VR체험시설은 물론 오락실용&가정용 게임이 도서관 컨셉으로 전시되어 있으며
또 직접 체험 가능 때문이다 여행 사람 방문 많다|직접 체험이 가능하여 많은 관광객들이 방문합니다.
2번째|그러므로 part.2
커피 마시다 여유 가능 곳|커피와 여유가 있는 곳
제주도 카페 곳 최근 가장 인기 많다 커피 마시다 여유|요즘 가장 핫한 제주 감성이 가득한 카페에서 커피 한 잔의 여유를 가져보세요.
카페 집 겉 모습 깨끗 미술 구경 곳 모습 비슷 이 곳 기념 사진 찍다|모던한 건축물 외관으로 미술관에 온 듯한 느낌을 주는 카페에서 기념사진도 촬영하고
또 밖 유채꽃 가득 눈 보다 즐기다 가능|유채꽃이 가득한 야외는 눈이 즐거워지는 여행으로 만들어줘요.
천지연 폭포|천지연 폭포
제주도 3대 폭포|제주도 3대 폭포
천지연 폭포 의미 무엇? 하늘 땅 만나다 연못 생기다 의미 있다|천지연폭포는 하늘과 땅이 만나서 이른 연못이라는 뜻을 가지고 있습니다.
폭포 곳 가다 길 또 폭포 물 흐르다 있다 숲 또 산 물 흐르다 소리 마음 여유 돕다 좋다|산책하기 좋은 폭포로 가는 길, 폭포수가 흐르는 아름다운 숲과 자연의 소리는 최고의 힐링 공간이 됩니다.
송악산|송악산
해안 절경 보다 가능 곳|해안절경을 볼 수 있는 곳
송악산 바다 옆 길 10 곳 산 오르다 눈 둘러보다 한라산 산방산|올레길 10코스이기도 한 송악산에 올라서 전망대에서 바라본 한라산과 산방산과
또 용머리 바다 보다 그림 같다 멋있다|용머리해안의 아름다운 조화로움이 한 폭의 그림을 보는 듯한 느낌을 가져다 줍니다.
바다 보다 마라도 가파도 섬 두 개 보다 가능|시야가 바다를 향하면 마라도 가파도 형제 섬들이 한눈에 들어오고,
10분 걷다 송악산 정상 분화구 보다 가능 꼭 구경 필요 곳|10분 정도 걸어가면 송악산 정상 분화구를 볼 수 있는데, 이곳 또한 놓치지 말아야 할 곳 중에 하나입니다.
이니스프리 제주 하우스|이니스프리 제주 하우스
오설록 이니스프리 제주 하우스 제주 어울리다 곳|제주스러움을 잘 담은 오설록의 이니스프리 제주 하우스
녹차 밭 넓다 크다 곳 가깝다 이니스프리 제주 하우스 있다|드넓은 녹차밭이 펼쳐진 곳에 이니스프리 제주 하우스가 있습니다.
집 건물 모습 예쁘다 매우 또 기념 사진 찍다 많다 때문이다 사계절 계속 여행 구경 사람 많다|자연 친화적인 건물 외관 자체도 너무 예쁘고 기념 사진도 촬영할 수 있어 사계절 내내 방문객이 많다고 해요.
이니스프리 제주 하우스  곳 비누 직접 만들다 가능|제주스러움이 물씬 느껴지는 이니스프리 제주 하우스에서 비누 만들기 체험으로 나만의 쳔연 비누를 만들어봐요.
오설록 차 박물관|오설록 티 뮤지엄
녹차 향 있다|녹차향이 솔솔
제주 오설록 차 박물관 곳|자연을 생각하는 제주 오설록 티 뮤지엄!
오설록 차 박물관 제주 서광 차 밭 가깝다 이 곳 차 또 한국 전통 차 문화 알려주다|제주 서광 차밭과 맞닿아 있는 오설록티 뮤지엄은 아모레퍼시픽이 차와 한국 전통차 문화를 소개하고
또 보내다 목적 2001년 9월 한국 처음 차 박물관 설치하다|보급하고자 2001년 9월에 개관한 국내 최초의 차 박물관입니다.
세계 유명하다 디자인 건축 전문 사이트 이름 붐 곳 세계 미술 구경 곳 10대 중 제주도 차 박물관 포함|세계적인 디자인 건축 전문 사이트인 디자인 붐이 선정한 세계 10대 미술관에 오를 만큼 안팎으로
곳 아름답다 매년 구경 여행 사람 수 150만 명 방문 정도 제주 가장 문화 유명하다 곳|아름다운 풍경을 뽐내는 티 뮤지엄은 연간 150만 명의 관람객이 방문하는 제주 최고 명소이자 문화 공간입니다.
현재해수욕장|협재해수욕장
제주 곳 가장 바다 색 아름답다 곳|제주도에서 바다색이 가장 아름다운 곳
협재 곳 바다 색 에메랄드 때문 제주도 곳 여행 구경 사람 꼭 방문 있다|에메랄드 색 바다를 품고 있는 협재 해수욕장은 많은 관광객들이 제주도를 방문하면 꼭 들르는 해수욕장입니다.
바다 너머 비양도 모습 제주 바다 아름답다 보다 멋있다|바다 너머로 보이는 비양도는 예쁜 제주 바다와 어우러져 아름다운 뷰를 선사합니다.
테디베어 사파리|테디베어 사파리
원래 사파리 다르다|기존의 사파리와는 다르다.
세계 처음 실제 동물 모습 완전 똑같다 인형 만들다|세계 최초로 실제 동물 크기로 제작된 인형 사파리입니다.
원래 테디베어 박물관 더하다 아프리카 나라 곳 뿐 보다 가능 동물|본래의 테마로 꾸며진 테디베어 박물관의 콘텐츠 뿐만 아니라 아프리카 오지에서만 볼 수 있는 동물들과
또 동물 모습 똑같다 만들다 동물 인형 외 다르다 구경 보다 많다|제 동물의 크기로 제작된 신기한 동물 인형을 비롯해 재미와 볼거리가 가득한 곳입니다.
아르떼 박물관|아르떼 뮤지엄
국내 가장 크다 박물관|국내 최대 규모의 박물관
세계 최고 디지털 디자인 회사 이름 d’strict 곳 만들다 한국 미디어 예술 전시 구경 곳|세계 수준의 디지털 디자인 컴퍼니 d’strict가 선보이는 국내 최대 몰입형 미디어 아트 전시관입니다.
원래 스피커 만들다 공장 하지만 매우 크다 넓다 곳 바꾸다 약 10m 정도|기존의 스피커 제조 공장으로 사용되던 공간을 최대 10m에 육박하는 웅장한 공간으로 탈바꿈 시켜
주제 자연 영원 빛 소리 이용 미디어 예술 구경 만들다|빛과 소리가 만든 영원한 자연을 주제로 한 다양한 미디어 아트 전시가 펼쳐집니다.
속앗수다예 마지막 제주 추억|속앗수다예, 마지막은 나만의 제주 남기기
동문 제리 시장 15분 아마|동문 재리 시장 15분 소요 예정
제주 자연 보다 가능 곳|라이브한 제주를 느낄 수 있는 장소
제주 곳 좋다 감귤 또 과일 제주만 있다 물건 화산 흙 곳 풀 자라다 또 깨끗 곳 물고기 고기|제주의 명품 감귤과 과일, 토산품, 화산토에서 자란 농산물, 청정한 자연환경 속에서 자란 수산물과 축산물,
오징어 문어 다양 있다|그리고 건어물이 준비되어 있는 곳입니다.
한국 우수 시장 원래 만들다 생기다 기록 있다 사다 물건 택배 보내다 가능|원산지 표시 우수 시장으로 구매한 상품을 바로 택배송 할 수 있는 시스템이 갖춰져 있는 전국에서 손꼽히는 우수 시장이며,
또 시장 안 곳곳 오메기떠 빙떡이떡 팔다 곳 집 분식 거리 또 전통 음식 먹다 시장 있다 먹다 가능|시장 내 곳곳에 오메기떡 빙떡이떡 집과 분식 거리, 그리고 전통 먹거리 시장이 있어 출출함도 달랠 수 있어요.
도두동 무지개 해안 도로|도두동 무지개 해안도로
색 다양 무지개 빛|알록달록 무지개 빛
해안 도로 파랗다 제주 바다 곳 색 다양 무지개 있다 느끼다|파란 제주 바다에 알록달록 무재개를 넣은 듯한 느낌을 주는 해안 도로입니다.
많다 여행 구경 사람 사진 찍다 유명하다 곳 추억 가능|많은 관광객들이 사진 명소로 부르고 있는 장소에서 예쁜 추억을 남겨봐요!
이호테우 해변 30분 소요 예정|이호테우 해변 30분 소요 예정
제주 최고 등대 있다 바다|제주 최고의 등대를 가진 해변
이호테우 곳 이름 의미 무엇? 이호동 마을 또 통나무 테우 배 합 만들다|이호테우는 이호동 마을과 테우라는 통나무 배를 합쳐서 붙여진 이름입니다.
이호테우 바다 공항 가장 가깝다 낮 밤 모두 아름답다 바다|이호테우 해변은 공항과 가장 가까운, 낮과 밤이 모두 아름다운 해변입니다.
